agency,df,ver,tmp_file,UNICEF_INDICATOR,DATA_SOURCE,OBS_FOOTNOTE,dq,indic_name,
UNESCO,SDG4,2.0,EDU_SDG_GER_L01.csv,EDU_SDG_GER_L01,UIS,,GER.PT.L01.._T..............AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,"Children in early childhood educational development programs (gross enrolment ratio, % of children aged 0-2)",
UNESCO,SDG4,2.0,EDU_SDG_COMP_EDU_L02.csv,EDU_SDG_COMP_EDU_L02,UIS,,COMP_EDU.YR.L02................AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Number of years of compulsory pre-primary education guaranteed in legal framework (SDG 4.2.5),
UNESCO,SDG4,2.0,EDU_SDG_FREE_EDU_L02.csv,EDU_SDG_FREE_EDU_L02,UIS,,FREE_EDU.YR.L02................AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Number of years of free pre-primary education guaranteed in legal framework (SDG 4.2.5),
UNESCO,SDG4,2.0,EDU_SDG_STU_L1_G2OR3_READING.csv,EDU_SDG_STU_L1_G2OR3_READING,UIS,,STU.PT.L1.._T+F+M..G2_3...READING.........AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Proportion of children in grade 2 or 3 reaching minimum proficiency in reading,
UNESCO,SDG4,2.0,EDU_SDG_STU_L1_G2OR3_MATH.csv,EDU_SDG_STU_L1_G2OR3_MATH,UIS,,STU.PT.L1.._T+F+M..G2_3...MATH.........AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Proportion of children in grade 2 or 3 reaching minimum proficiency in math,
UNESCO,SDG4,2.0,EDU_SDG_STU_L1_GLAST_READING.csv,EDU_SDG_STU_L1_GLAST_READING,UIS,,STU.PT.L1.._T+F+M..GLAST...READING.........AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Proportion of children at the end of primary education reaching minimum proficiency in reading,
UNESCO,SDG4,2.0,EDU_SDG_STU_L1_GLAST_MATH.csv,EDU_SDG_STU_L1_GLAST_MATH,UIS,,STU.PT.L1.._T+F+M..GLAST...MATH.........AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Proportion of children at the end of primary education reaching minimum proficiency in math,
UNESCO,SDG4,2.0,EDU_SDG_STU_L2_READING.csv,EDU_SDG_STU_L2_READING,UIS,,STU.PT.L2.._T+F+M.....READING.........AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Proportion of children at the end of lower secondary education reaching minimum proficiency in reading,
UNESCO,SDG4,2.0,EDU_SDG_STU_L2_MATH.csv,EDU_SDG_STU_L2_MATH,UIS,,STU.PT.L2.._T+F+M.....MATH.........AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Proportion of children at the end of lower secondary education reaching minimum proficiency in math,
UNESCO,SDG4,2.0,EDU_SDG_PRYAa.csv,EDU_SDG_PRYA_GPI,UIS,,PRYA.GPI..._T+F+M.Y_GE15.............AL+AM+AZ+BA+BG+BY+CZ+EE+GE+HR+HU+KG+KZ+LT+LV+MD+ME+MK+PL+RO+RS+RU+SI+SV+TJ+TM+TR+UA+UZ,Participation rate of youth and adults in formal and non-formal education and training for the previous 12 months
